,Tau,Rho,Sigma,LogJitter
276863576,0.0698851569322837,1.7418581911523616,0.0067407562164634146,-6.840419352247872
391746008,0.059673545437696034,1.6519694162936185,0.005661065727493207,-6.600799328044375
389363675,0.1038083621987054,1.6554392232015605,0.009453627079866732,-5.420406126032594
179208856,0.11854507818605517,0.9406421862794996,0.009111989074375734,-4.633142652749007
181446250,0.05360826727571234,1.228462520693856,0.0026728851874991432,-5.638095974316248
394214422,0.11738092298555325,0.957711949662197,0.009109464872177023,-10.880835855964136
276864600,0.08897023173096376,1.636787843045677,0.007180137216396187,-6.657279003400197
389364321,0.13004482113699628,1.5763911520525489,0.007889185590907434,-11.69504207891758
276936320,0.831284446738849,4.19313339610354,0.08922558162717747,-5.225674906668677
277172728,0.078496713739037,1.3374166969815802,0.009033499923976588,-11.408933718000306
276864697,0.0733900529804358,1.3279650908110707,0.0033466261549044106,-6.366568488420727
404967301,0.09034509703691601,1.7316127823637264,0.006689057085471714,-7.1556590474736925
276869010,0.05556809975620072,1.3768239758754155,0.003572020532997125,-6.4265462217405265
179586885,0.07700063583147376,1.6287719091543313,0.0045799978450598924,-8.236626752643547
277022505,0.09501384177730035,1.8755120167637247,0.010947172170380515,-6.688628050733946
30759304,0.05846077250189626,1.428130077684222,0.0048797073334637476,-8.730084519611328
276860194,0.09557952444877259,1.8819913205896601,0.004047851624549905,-11.351060783669197
279951435,0.0749879450652784,1.484879632226463,0.005680982096686057,-11.376306660058194
391809072,0.06396667809477134,1.4452051824005194,0.004997527126050274,-6.616211617484766
179304909,0.07671914122840555,1.1792872233749487,0.00372696717392226,-11.436766826733258
30113318,0.07285671969067745,1.3049776619713365,0.004957761061018286,-11.999797867338257
40343782,0.1515512704231763,1.7948103991443711,0.007456834373361767,-6.252371031288497
373765872,0.0695706411061573,1.27580039115607,0.007649872760707795,-5.836740207067234
40515514,0.3590756266439044,2.0611002874723305,0.014770876845774604,-11.767978396088548
40796053,0.4232496260516782,2.333872279997453,0.0033694232061402753,-11.51031898764556
30317301,0.33143680074479204,1.1726383738392563,0.009751936455631039,-7.865817705098458
373521839,0.34723484904046686,1.7849111619938625,0.007237521743065576,-11.324827679240153
276864021,0.12347303370112633,1.6451030115932126,0.005099611391739072,-11.301509877953915
276936458,0.20469506260384143,1.1868255417100482,0.004713334749457794,-12.033804982808954
182730317,0.10083086903237426,0.42999659862463513,0.0033515790490334044,-8.374515393251652
180792170,0.07407877063993729,1.2550669707299342,0.004819053264356694,-7.258805948847217
182905190,0.12939445827465026,0.653892386265219,0.00646036953979928,-10.896077642379991
180609595,0.06168785322123118,1.1836351341085003,0.0035333175077165886,-10.84934107219452
180609829,0.07146196756692838,1.1639576825687148,0.004609406578596344,-10.722038562624311
