4.133085736423527123e+02,1.428119800000000000e+07,1.010695877075195312e+02
4.133290074929973343e+02,1.429677200000000000e+07,1.011226806640625000e+02
4.133494411441060947e+02,1.431695000000000000e+07,1.011794586181640625e+02
4.133698748956812778e+02,1.433283200000000000e+07,1.012328643798828125e+02
4.134107423997556907e+02,1.434005900000000000e+07,1.012592239379882812e+02
4.134311761522549205e+02,1.433342300000000000e+07,1.012350387573242188e+02
4.134516100052278489e+02,1.432295900000000000e+07,1.012138366699218750e+02
4.134924774123355746e+02,1.432790600000000000e+07,1.012284927368164062e+02
4.135333449208337697e+02,1.435998400000000000e+07,1.013213882446289062e+02
4.135537786756613059e+02,1.437743800000000000e+07,1.013803253173828125e+02
4.135742125309625408e+02,1.438420800000000000e+07,1.014034957885742188e+02
4.135946462864958448e+02,1.437038600000000000e+07,1.013607711791992188e+02
4.136355136987185688e+02,1.432630600000000000e+07,1.012228317260742188e+02
4.136559475551839569e+02,1.432254100000000000e+07,1.012129135131835938e+02
4.137172488273645286e+02,1.437589200000000000e+07,1.013699798583984375e+02
4.137376824854582082e+02,1.438878600000000000e+07,1.014162521362304688e+02
4.137581162440110347e+02,1.438187500000000000e+07,1.013991470336914062e+02
4.137785501028047292e+02,1.435965200000000000e+07,1.013218460083007812e+02
4.137989837620552862e+02,1.433532100000000000e+07,1.012538909912109375e+02
4.138194175215467112e+02,1.432105800000000000e+07,1.011943283081054688e+02
4.138398513815045590e+02,1.432260800000000000e+07,1.012079086303710938e+02
4.138807188025748474e+02,1.434600000000000000e+07,1.012817916870117188e+02
4.139011526636968483e+02,1.435838300000000000e+07,1.013218765258789062e+02
4.139215864250436425e+02,1.436871500000000000e+07,1.013615264892578125e+02
4.139624539489159361e+02,1.435326800000000000e+07,1.013103027343750000e+02
4.139828876114333980e+02,1.431766700000000000e+07,1.012004013061523438e+02
4.140033213744100067e+02,1.428228900000000000e+07,1.010866699218750000e+02
4.140237551376267220e+02,1.426386000000000000e+07,1.010228958129882812e+02
4.140441889013018226e+02,1.426946300000000000e+07,1.010472717285156250e+02
4.140646226652170299e+02,1.428922000000000000e+07,1.011084136962890625e+02
4.140850563295971369e+02,1.430679700000000000e+07,1.011649856567382812e+02
4.141054901942115976e+02,1.430987500000000000e+07,1.011759338378906250e+02
