CommonName,ContRatio,Dec,Dec_y,MKType,MatchID,RA,RA_y,SimbadOType,SimbadSpT,SpT,SpecSource,TIC ID,Tmag,dist,lum,pmDec,pmRA,teff,w1mag,w2mag,w3mag,w4mag,alpha,e_alpha,tau,e_tau,gamma,e_gamma,alpha_w,e_alpha_w
HD 269953,,-69.6680146949321,,G0,404850274,85.0506962218809,,YellowSG*,G0_0,YSG,N,404850274,9.2671,0.0494748046107853,5.437,0.691703,1.71767,3.6919999999999997,7.271,6.638,4.063,1.214,0.015842734600991493,0.0007052972083119634,0.4287848524287759,0.024307553714760306,1.5277862538548452,0.02742346014449061,0.001731219165851794,7.293427228247978e-07
HD 269110,,-69.6033901712571,,K0,40404470,77.29420213149241,,Star,G0I:,YSG,N,40404470,10.038,0.18210142020517397,5.251,0.252252,2.0805700000000003,3.75,8.786,8.681000000000001,8.568999999999999,8.241,0.007609566620787001,0.00031869301287586297,0.3190366015385166,0.016280087819277686,1.945852526389727,0.05713493596682972,0.0015627318032249227,6.222183716355159e-07
HD 268687,,-69.4312513304874,,F2,29984014,72.73273606034921,,YellowSG*,F6Ia,YSG,N,29984014,10.4649,0.0353944851400487,5.169,-0.114001,1.83265,3.784,9.225,9.15,8.963,9.049,0.06477673672675857,0.0020488699738324483,0.32398196036604265,0.009457986437208661,1.9741414380313727,0.01963632626125893,0.0016554582171221422,6.959143811006348e-07
HD 269840,,-68.9281290230183,,G0,277108449,84.0420066193105,,YellowSG*,F3Ia,YSG,N,277108449,10.132,0.17595646324647699,5.335,0.6823170000000001,1.48695,3.7910000000000004,8.839,8.786,8.577,8.336,0.008739596587991633,0.00027417845780658835,0.12568633518534023,0.004450650520468557,2.3005455764337617,0.06390428533441948,0.002034197915923508,1.0284725493385907e-06
HD 269902,,-69.1059214609078,,A1Ia+,277300045,84.53992899164001,,SG*,A1Ia+,YSG,N,277300045,9.7899,0.0714366590649896,5.352,0.627754,1.7065400000000002,3.793,8.687000000000001,8.609,9.187999999999999,4.947,0.02355602626972064,0.0008634821227826441,0.31446650912337737,0.013044580223263587,1.7385801613045424,0.026114951083262197,0.0017521618632097154,7.700921913256096e-07
