f_in,n_f_out,close,f_out,f_out_err,amp_in,amp_out,amp_out_err,peak_out,lc_length,tmag,rms,alpha,tau,teff,lum,f2_out,f2_out_err,amp2_out,amp2_out_err,peak2_out
4.991361254346213,1,1,4.9911882119185975,0.00014072850659394546,0.0030989492663622653,0.003091881616581127,3.9008100539128594e-05,4539.142264538999,49.426586914772315,11.2006,0.004431300022880053,0.0581603033646992,0.1903948040015378,3.945,5.157,0.0,0.0,0.0,0.0,0.0
1.6607981207356335,1,1,1.6603879504882584,0.00020212368281260625,0.00017511993673046856,0.0001500923867867159,1.4840916722970887e-05,61.43338432978552,269.70911016916216,10.7108,0.003769863233831498,0.0185885902967836,0.4190934044521117,3.871,4.383,0.0,0.0,0.0,0.0,0.0
4.375268631518865,1,1,4.375070724948448,0.00011531762744926174,0.002534787038482464,0.002559901879755947,2.6464754754477253e-05,2930.9143216457283,49.4264718204422,11.2638,0.0028215845156611876,0.0091072437460771,0.2273831096208338,3.747,4.873,0.0,0.0,0.0,0.0,0.0
4.507504199876042,1,1,4.507515681451455,7.043669870316501e-06,0.012537476162656293,0.012517462624862337,4.3132069781490915e-05,22383.64888129598,269.7091980240657,11.5848,0.006439174238445675,0.1325623420859333,0.4825656238569921,3.969,4.869,0.0,0.0,0.0,0.0,0.0
0.6679253491658116,1,1,0.6680054065519025,6.917035454653131e-05,0.00023029784113057225,0.0002113584861744863,7.151946950593918e-06,143.35319524909693,269.7089433890069,10.9625,0.0019278206682256493,0.0087057846574999,0.4662110148452741,3.638,4.859,0.0,0.0,0.0,0.0,0.0
2.5013312673099417,1,1,2.5013325627404135,5.991338129129712e-06,0.029814938971733606,0.02980457587857087,7.893155369614408e-05,50828.62033456269,243.69949532831015,10.6203,0.0031387706605034743,0.0256592852829675,0.5529361179011462,3.808,4.626,0.0,0.0,0.0,0.0,0.0
3.153489215069649,1,1,3.1534870886628896,6.223641631720443e-05,0.1392251159720695,0.1391572508935086,0.0007764263841947173,27954.340521179656,49.426586914772315,11.2006,0.004431300022880053,0.0581603033646992,0.1903948040015378,3.945,5.157,0.0,0.0,0.0,0.0,0.0
2.429081865074705,1,1,2.4290823462429945,5.372939337628064e-06,0.009295423202446714,0.0093019228114577,2.4449428625874346e-05,58853.345233952095,269.7086034906388,9.5891,0.0008735764754764449,0.0096046246631079,0.2994651588295269,3.784,5.381,0.0,0.0,0.0,0.0,0.0
2.173675521447985,0,0,0.0,0.0,3.700221235190928e-05,0.0,0.0,0.0,269.7093274769577,10.4662,0.0013809248146360981,0.0047101292988679,0.2769266627048341,3.821,5.132,0.0,0.0,0.0,0.0,0.0
0.27700738326525803,0,0,0.0,0.0,3.335838918051324e-05,0.0,0.0,0.0,269.7092788723239,11.6307,0.004322402566158469,0.0384722220689884,0.1402761722826163,3.665,4.584,0.0,0.0,0.0,0.0,0.0
1.5808682707922792,1,1,1.5808733586247476,5.536466727584916e-06,0.02290526098493682,0.022817433874443398,6.179945257307184e-05,17250.300209535628,269.7092788723239,11.6307,0.004322402566158469,0.0384722220689884,0.1402761722826163,3.665,4.584,0.0,0.0,0.0,0.0,0.0
2.666288458115608,1,1,2.6662888827392446,6.296320632161919e-06,0.03864046368178442,0.038636670105916794,0.00010772321109881776,85287.89709487997,244.1369529103108,9.1333,0.001603070856088822,0.0201966976123955,0.4375543712456443,3.83,5.145,0.0,0.0,0.0,0.0,0.0
3.603845094941306,1,1,3.603829177267048,0.00018952998590863362,0.02592922991695918,0.025908255552839814,0.00021245509932211676,7931.124879932865,23.85403277353862,11.4419,0.003050308330346302,0.1499887655297558,0.4250457368671155,3.921,5.016,0.0,0.0,0.0,0.0,0.0
2.6099424949095256,1,1,2.609940614717215,5.803035680027142e-06,0.028632942858141865,0.028604751051112272,8.120417924941531e-05,38647.88799225207,269.70917624482536,11.4847,0.003961355794405111,0.0525983879843893,0.2451119796668396,3.956,4.925,0.0,0.0,0.0,0.0,0.0
1.95133299049765,1,1,1.9513693358666178,3.33100079151743e-05,0.00044508656601085914,0.00043563691298390336,6.425725557545473e-06,1338.7054997458022,244.1369529103108,9.1333,0.001603070856088822,0.0201966976123955,0.4375543712456443,3.83,5.145,0.0,0.0,0.0,0.0,0.0
4.741283844798843,0,0,0.0,0.0,1.0861258983653707e-05,0.0,0.0,0.0,23.854021714083046,10.7268,0.0019580197189003534,0.0319898520963556,0.1190793589549679,3.607,5.094,0.0,0.0,0.0,0.0,0.0
3.434145541599317,1,1,3.4341489888778414,7.821862348101215e-06,0.0021707686851313588,0.00218632800591556,8.365856476231166e-06,10380.371034537091,269.7091482461983,10.1829,0.0014592144974018386,0.0197565680866858,0.2218108808683419,3.82,5.331,0.0,0.0,0.0,0.0,0.0
4.327743444396551,1,1,4.327737868020243,6.232786953989072e-05,0.12717959990950495,0.12721669517445355,0.0007108460793465955,49380.91032226503,49.42650879348275,11.6794,0.003422983436511596,0.0187221256022449,0.2330259643953457,3.605,4.844,0.0,0.0,0.0,0.0,0.0
0.09535213782027936,0,0,0.0,0.0,8.833065444547417e-06,0.0,0.0,0.0,244.1369529103108,9.1333,0.001603070856088822,0.0201966976123955,0.4375543712456443,3.83,5.145,0.0,0.0,0.0,0.0,0.0
0.3211990087986816,0,0,0.0,0.0,2.3470417732156622e-05,0.0,0.0,0.0,357.06096346824484,11.0693,0.01941263045218898,0.052817441065515,0.3875317415206205,3.969,4.502,0.0,0.0,0.0,0.0,0.0
2.651241413461816,1,1,2.651251843915746,5.967156332833303e-06,0.008705696225520755,0.008662142358232828,2.528581579172707e-05,20210.32651425054,269.7087222310074,9.6,0.0030283250307104343,0.1142425162338821,0.1816342740883266,3.884,5.491,0.0,0.0,0.0,0.0,0.0
4.6131725975725715,1,1,4.612721384313465,0.00024396545421911272,0.00014603059381003113,0.0001598308268505159,1.9075411736357177e-05,82.56468684796553,269.709221333047,11.5071,0.005158824855741074,0.0925274591143576,0.4722993626816955,3.939,4.856,0.0,0.0,0.0,0.0,0.0
0.9186559651529463,0,0,0.0,0.0,1.3944305125245246e-05,0.0,0.0,0.0,49.42650879348275,11.6794,0.003422983436511596,0.0187221256022449,0.2330259643953457,3.605,4.844,0.0,0.0,0.0,0.0,0.0
4.2675890645090275,1,1,4.267596718238637,4.490297088516076e-05,0.0005803132885358552,0.0005908891823324521,1.172802789519956e-05,1698.9202041127717,243.69949532831015,10.6203,0.0031387706605034743,0.0256592852829675,0.5529361179011462,3.808,4.626,0.0,0.0,0.0,0.0,0.0
4.196085642176024,1,1,4.196084363632663,6.222928981252416e-05,0.18080991015004227,0.18083555380055202,0.0010088524671554371,51324.58997917245,49.426487675976205,10.8453,0.0022701660735137976,0.0169393250709934,0.3626645004505616,3.901,5.223,0.0,0.0,0.0,0.0,0.0
2.6063206369362577,1,1,2.60632552951869,4.097551866607105e-05,0.023623918504245417,0.02356690279413777,0.00013861719361144294,8626.858614054061,79.14088211554372,11.1963,0.0038426388000258665,0.1459208392162634,0.195258004540204,3.68,4.841,0.0,0.0,0.0,0.0,0.0
4.4175501527176415,1,1,4.417553403034983,9.73907442324028e-06,0.0014794410568557902,0.0014848050278712917,7.074113718285692e-06,6931.30662791011,269.7091482461983,10.1829,0.0014592144974018386,0.0197565680866858,0.2218108808683419,3.82,5.331,0.0,0.0,0.0,0.0,0.0
4.709016825401857,1,1,4.709017142192634,3.6377495982829357e-06,0.09052819758229129,0.09049847523290791,0.00021320907270514205,113298.14851368759,357.06096346824484,11.0693,0.01941263045218898,0.052817441065515,0.3875317415206205,3.969,4.502,0.0,0.0,0.0,0.0,0.0
4.4533091435273535,1,1,4.453308479617552,6.308189113419874e-06,0.08337985861204827,0.08338435583266143,0.0002329228135438677,145187.36176533144,244.13694147084652,10.4914,0.004950377962419836,0.0509624379501091,0.4796961620826205,3.83,4.559,0.0,0.0,0.0,0.0,0.0
1.3913145876541981,1,1,1.3913202657149173,6.705750338028478e-05,0.02095138546949723,0.02112459143010553,0.00012699440269562244,1821.02315680753,49.42647473850866,10.9665,0.006020643773365214,0.095174331349671,0.2503003766366327,4.123,5.212,0.0,0.0,0.0,0.0,0.0
3.946511730114136,1,1,3.946513573347312,3.239611988542889e-05,0.0007468527823945907,0.0007208465521786005,1.1424064477900662e-05,2860.209804302548,269.70908599595714,11.5962,0.0028579361476063353,0.0057470337492704,0.4417016218031453,3.832,4.697,0.0,0.0,0.0,0.0,0.0
0.36595848740847003,0,0,0.0,0.0,4.379699434686738e-05,0.0,0.0,0.0,269.70925174000877,11.4095,0.007468532830592703,0.1632681328028547,0.4548833773119772,3.968,4.947,0.0,0.0,0.0,0.0,0.0
3.525337908188558,1,1,3.5253357507259078,7.653429541739552e-06,0.003528775987217165,0.0035273328789724246,1.3206487972834495e-05,23289.253206243313,269.70907522394555,10.5153,0.002822753864946383,0.0055440822713473,0.4162116913887357,3.834,4.695,0.0,0.0,0.0,0.0,0.0
2.781625103358044,1,1,2.781617496853315,9.621494543729791e-06,0.0017063611277895955,0.0017122306355553793,8.059146200526165e-06,11309.82807940493,269.7087199491798,10.8201,0.0018343887051412442,0.0031854988982943,0.2004260368156735,3.748,4.885,0.0,0.0,0.0,0.0,0.0
3.765068003145241,0,0,0.0,0.0,3.1762094672881343e-06,0.0,0.0,0.0,49.4264718204422,11.2638,0.0028215845156611876,0.0091072437460771,0.2273831096208338,3.747,4.873,0.0,0.0,0.0,0.0,0.0
4.025304428776245,1,1,4.025306298342253,2.488253432580279e-05,0.0028095765130541,0.0028209726440295256,3.433824469045593e-05,5601.700435532666,269.70895055372966,11.154000000000002,0.0090562981900862,0.0522832522708216,0.2483726128546811,4.035,4.692,0.0,0.0,0.0,0.0,0.0
4.262394085653891,1,1,4.262395589904313,4.086071904215996e-06,0.04454916853835811,0.044633857305526804,0.00011811418111052748,53916.56271265098,357.06096346824484,11.0693,0.01941263045218898,0.052817441065515,0.3875317415206205,3.969,4.502,0.0,0.0,0.0,0.0,0.0
3.0276325743949766,1,1,3.028663026120151,0.0009351521091578353,0.0005758995555798594,0.00056452131418828,2.284091287312408e-05,128.07961388819916,23.854021714083046,10.7268,0.0019580197189003534,0.0319898520963556,0.1190793589549679,3.607,5.094,0.0,0.0,0.0,0.0,0.0
3.2784299084058386,0,0,0.0,0.0,3.2745343118853216e-06,0.0,0.0,0.0,269.70912269703695,10.8178,0.006511049624807702,0.0389300473626016,0.2621590126263268,3.933,4.699,0.0,0.0,0.0,0.0,0.0
3.956721126242986,1,1,3.956721851055531,6.232690240545182e-05,0.13324531109992516,0.1331934462774073,0.0007442306732778991,42587.10708809448,49.42650710220096,11.8152,0.0036678749385400497,0.0042484217173308,0.3554284609839316,3.633,4.677,0.0,0.0,0.0,0.0,0.0
0.3565345944814393,1,1,0.3565361904366543,5.9418496464222225e-06,0.16607273457874883,0.16599411839619926,0.00043597163411353935,4438.528443152474,243.69949532831015,10.6203,0.0031387706605034743,0.0256592852829675,0.5529361179011462,3.808,4.626,0.0,0.0,0.0,0.0,0.0
3.419548153833796,0,0,0.0,0.0,3.3344663490512436e-06,0.0,0.0,0.0,269.7086255939794,10.7841,0.0017574553946513337,0.0137324330248015,0.4745558219794907,3.645,4.927,0.0,0.0,0.0,0.0,0.0
3.7415469422310945,1,1,3.741576853107705,6.403436748140863e-05,0.02615378637361348,0.026170242617007587,0.00015023486812667773,10184.503672098854,49.426586914772315,11.2006,0.004431300022880053,0.0581603033646992,0.1903948040015378,3.945,5.157,0.0,0.0,0.0,0.0,0.0
2.3223733307679377,0,0,0.0,0.0,2.7127589390303662e-05,0.0,0.0,0.0,269.70924454373016,11.3647,0.002569194714402361,0.0062672071206724,0.2398920962765403,3.781,4.73,0.0,0.0,0.0,0.0,0.0
0.25165463265400567,0,0,0.0,0.0,4.182687728844005e-05,0.0,0.0,0.0,269.7088010860316,11.6512,0.0030468761620037906,0.0075376354588078,0.3481189248706671,3.618,4.624,0.0,0.0,0.0,0.0,0.0
1.2280346308099284,1,1,1.2280345043702456,6.283774947290243e-06,0.20633874212912104,0.20632107570176075,0.0005740992250880931,30013.114971226056,244.13694147084652,10.4914,0.004950377962419836,0.0509624379501091,0.4796961620826205,3.83,4.559,0.0,0.0,0.0,0.0,0.0
4.031494023309192,0,0,0.0,0.0,3.5164189406194195e-06,0.0,0.0,0.0,269.7090000216558,11.0744,0.0024026411071351172,0.0224978164130941,0.2791456148597023,3.711,4.761,0.0,0.0,0.0,0.0,0.0
4.681760775226772,1,1,4.681844316048566,0.00014587997198926242,7.746464768542934e-05,8.646645103791819e-05,6.170599881549496e-06,132.13270170837004,269.7086255939794,10.7841,0.0017574553946513337,0.0137324330248015,0.4745558219794907,3.645,4.927,0.0,0.0,0.0,0.0,0.0
1.8940126014626446,1,1,1.8949141627229054,0.0010995659759820279,0.0005319312439789682,0.0005585974279600092,2.657489736973515e-05,154.87394703708424,23.854050043518782,11.3007,0.0022911428529106756,0.0119111689099207,0.8105677075053379,3.832,4.927,0.0,0.0,0.0,0.0,0.0
1.9081664971967205,0,0,0.0,0.0,5.27308870845733e-05,0.0,0.0,0.0,49.42650879348275,11.6794,0.003422983436511596,0.0187221256022449,0.2330259643953457,3.605,4.844,0.0,0.0,0.0,0.0,0.0
1.077044272236726,1,1,1.0764354518728787,0.0004986248758783241,0.0020917368456464854,0.0021026748985404353,4.53625224159862e-05,138.40863900946096,23.854036480202467,11.4455,0.0036819273190957353,0.0147450876505706,0.1804771895344388,3.801,4.852,0.0,0.0,0.0,0.0,0.0
0.77977781077795,1,1,0.7798136635675988,0.0001332118816873757,0.00013992101175676995,0.00015200250734188117,9.905548303226426e-06,74.54647060025708,269.70907522394555,10.5153,0.002822753864946383,0.0055440822713473,0.4162116913887357,3.834,4.695,0.0,0.0,0.0,0.0,0.0
0.8500124112413624,1,1,0.8497008110268307,4.9823977520860935e-05,0.001193715068999936,0.001383576133641531,3.37229890401144e-05,32.450412457510204,269.70895055372966,11.154000000000002,0.0090562981900862,0.0522832522708216,0.2483726128546811,4.035,4.692,0.0,0.0,0.0,0.0,0.0
0.20016841816371822,0,0,0.0,0.0,1.0380975314464423e-05,0.0,0.0,0.0,49.42650710220096,11.8152,0.0036678749385400497,0.0042484217173308,0.3554284609839316,3.633,4.677,0.0,0.0,0.0,0.0,0.0
0.27991229220118663,0,0,0.0,0.0,0.00013459738377580812,0.0,0.0,0.0,357.06096346824484,11.0693,0.01941263045218898,0.052817441065515,0.3875317415206205,3.969,4.502,0.0,0.0,0.0,0.0,0.0
3.3071194474008587,1,1,3.307114889731342,7.078890597018813e-06,0.0031483287543410524,0.0031415434090438918,1.0879097236829906e-05,21072.022404453222,269.7089433890069,10.9625,0.0019278206682256493,0.0087057846574999,0.4662110148452741,3.638,4.859,0.0,0.0,0.0,0.0,0.0
0.39489568260095015,1,0,0.39492883447278326,6.4819746899788185e-06,0.018118502507181448,0.018710195640818158,5.932944204527083e-05,700.7411561754244,269.70895055372966,11.154000000000002,0.0090562981900862,0.0522832522708216,0.2483726128546811,4.035,4.692,0.0,0.0,0.0,0.0,0.0
1.8044866753196631,0,0,0.0,0.0,3.247413826213477e-05,0.0,0.0,0.0,49.42645497770627,11.1122,0.0027828000847632157,0.0581241094961165,0.268018513632186,3.914,5.142,0.0,0.0,0.0,0.0,0.0
1.3636063308302027,0,0,0.0,0.0,7.842092167825115e-06,0.0,0.0,0.0,269.7090000216558,11.0744,0.0024026411071351172,0.0224978164130941,0.2791456148597023,3.711,4.761,0.0,0.0,0.0,0.0,0.0
1.8005097344294958,1,1,1.8004934906707752,6.980528521399584e-05,0.007038112794101242,0.007059322603146089,4.403467104076217e-05,3515.971690401004,49.26677972431139,11.5128,0.002400594607791724,0.0142684580945821,0.3567123924266431,3.771,4.788,0.0,0.0,0.0,0.0,0.0
3.9446814212444408,1,1,3.944671381722591,0.0001867726899943995,0.15461213975560306,0.1545462719898003,0.0012488864797973846,21978.818378404274,23.85403277353862,11.4419,0.003050308330346302,0.1499887655297558,0.4250457368671155,3.921,5.016,0.0,0.0,0.0,0.0,0.0
1.3453836105682897,0,0,0.0,0.0,4.025694335833458e-05,0.0,0.0,0.0,269.70917624482536,11.4847,0.003961355794405111,0.0525983879843893,0.2451119796668396,3.956,4.925,0.0,0.0,0.0,0.0,0.0
1.2222458784662662,0,0,0.0,0.0,6.2167096360887326e-06,0.0,0.0,0.0,269.7088010860316,11.6512,0.0030468761620037906,0.0075376354588078,0.3481189248706671,3.618,4.624,0.0,0.0,0.0,0.0,0.0
4.95113911096183,1,1,4.9510490495205675,0.00014126129215856828,0.0023639946036738396,0.0023776261415644462,3.0110358229684938e-05,4372.864530146719,49.42650879348275,11.6794,0.003422983436511596,0.0187221256022449,0.2330259643953457,3.605,4.844,0.0,0.0,0.0,0.0,0.0
4.047295301869129,1,1,4.047286459441177,7.3006177466093214e-06,0.0027396341848633906,0.002744771468332498,9.802806704937558e-06,22728.3447020315,269.7089718164352,10.8872,0.0018035142488987013,0.0087187401829734,0.3653282236869254,3.632,4.901,0.0,0.0,0.0,0.0,0.0
1.6337577423601861,1,1,1.6337685068363028,7.14306915236412e-06,0.011909187601188814,0.01192543295244555,4.167197646075016e-05,7635.486267673037,269.70925174000877,11.4095,0.007468532830592703,0.1632681328028547,0.4548833773119772,3.968,4.947,0.0,0.0,0.0,0.0,0.0
2.5665621938140286,0,0,0.0,0.0,7.728095544451407e-06,0.0,0.0,0.0,269.7088010860316,11.6512,0.0030468761620037906,0.0075376354588078,0.3481189248706671,3.618,4.624,0.0,0.0,0.0,0.0,0.0
3.6455203741234845,1,1,3.6455156590506332,7.228467453598443e-06,0.00679733560447199,0.006799601980387982,2.404443537463831e-05,19064.567324396376,269.70911016916216,10.7108,0.003769863233831498,0.0185885902967836,0.4190934044521117,3.871,4.383,0.0,0.0,0.0,0.0,0.0
1.6242006564263853,1,1,1.6241734144876816,3.278774275981971e-05,0.0006473576337767505,0.00064027078044,1.0269759652140128e-05,981.7781221515252,269.70924454373016,11.3647,0.002569194714402361,0.0062672071206724,0.2398920962765403,3.781,4.73,0.0,0.0,0.0,0.0,0.0
0.6089843404569569,0,0,0.0,0.0,1.6269858406090573e-05,0.0,0.0,0.0,23.854050043518782,11.3007,0.0022911428529106756,0.0119111689099207,0.8105677075053379,3.832,4.927,0.0,0.0,0.0,0.0,0.0
1.9957980058903133,1,1,1.995800088362042,4.383249442081599e-06,0.03581746687924116,0.035850088830961725,0.00010176959358488161,15378.772469986727,357.06096346824484,11.0693,0.01941263045218898,0.052817441065515,0.3875317415206205,3.969,4.502,0.0,0.0,0.0,0.0,0.0
4.175760404549901,1,1,4.175671065720981,6.959208436111081e-05,0.0003901644701136397,0.0003756836399519855,1.2789877623092391e-05,498.05895631164276,269.7087376465206,10.8099,0.0036104154861340875,0.0770076152233757,0.3542904971697657,3.902,5.055,0.0,0.0,0.0,0.0,0.0
0.6056402654094915,0,0,0.0,0.0,0.00034481318402587404,0.0,0.0,0.0,23.853993068230466,11.5522,0.0026356379286935103,0.0404229056569406,0.4110846356393048,3.647,4.749,0.0,0.0,0.0,0.0,0.0
3.1857517069129986,1,1,3.185894782116971,0.0005587862223379803,0.001497523810449928,0.0015300845087791199,3.699237070657583e-05,946.1330807332113,23.85403277353862,11.4419,0.003050308330346302,0.1499887655297558,0.4250457368671155,3.921,5.016,0.0,0.0,0.0,0.0,0.0
0.49184900332586673,1,1,0.4917903694347448,2.6172096958679647e-05,0.0006901086704535758,0.000702490788963019,8.994226888038768e-06,122.9818432418079,269.7090000216558,11.0744,0.0024026411071351172,0.0224978164130941,0.2791456148597023,3.711,4.761,0.0,0.0,0.0,0.0,0.0
4.711634364896782,1,1,4.711680915951793,2.7178935467307268e-05,0.0028193367575936566,0.002829585097505709,3.7621845760451424e-05,8902.770400443513,269.70913195083267,11.7019,0.009348046216848732,0.1355076812284558,0.2517447509657024,3.896,4.71,0.0,0.0,0.0,0.0,0.0
0.6224055945693494,0,0,0.0,0.0,7.82830523353164e-05,0.0,0.0,0.0,269.7092423092181,11.9031,0.006265173710330406,0.0804279559750852,0.3487519285142144,4.035,4.931,0.0,0.0,0.0,0.0,0.0
0.5458694342819599,1,1,0.5460042805406762,0.0002943313433277655,0.0009204843903697662,0.0008634692134924583,2.278411825927887e-05,110.90755680428047,49.4264718204422,11.2638,0.0028215845156611876,0.0091072437460771,0.2273831096208338,3.747,4.873,0.0,0.0,0.0,0.0,0.0
2.574475067653976,1,1,2.574477724081665,4.640196133016706e-05,0.0003082117898391578,0.0003162603124067179,7.179027656123788e-06,1106.3366391418422,269.7089433890069,10.9625,0.0019278206682256493,0.0087057846574999,0.4662110148452741,3.638,4.859,0.0,0.0,0.0,0.0,0.0
1.1124236582282125,1,1,1.112221095494281,9.410096534867022e-05,0.00018104318449001287,0.00019163268606052538,8.82162007581299e-06,34.489302610881374,269.7090000216558,11.0744,0.0024026411071351172,0.0224978164130941,0.2791456148597023,3.711,4.761,0.0,0.0,0.0,0.0,0.0
1.0803838585377794,1,1,1.0803964721929205,0.000168728601103772,6.200200752002591e-05,6.531720301275209e-05,5.3913992836897565e-06,55.049087528809906,269.7093274769577,10.4662,0.0013809248146360981,0.0047101292988679,0.2769266627048341,3.821,5.132,0.0,0.0,0.0,0.0,0.0
0.6698172991676498,1,1,0.6698179510974575,5.695722510149229e-06,0.16929011349626125,0.1693384166551962,0.0004718340573600336,12328.875486931558,269.70917624482536,11.4847,0.003961355794405111,0.0525983879843893,0.2451119796668396,3.956,4.925,0.0,0.0,0.0,0.0,0.0
