TIC,n_peaks,highest_amp,highest_amp_error,f0,f0_error,lc_length
179437520.0,1.0,0.0001123367631723104,3.998647514567167e-06,0.8888356129409802,5.552491731962694e-05,353.4386586058081
404965649.0,2.0,0.000632260439595892,8.13557827247701e-06,0.1858274963638295,2.1637453384672185e-05,327.86648767605084
40185978.0,2.0,0.000681733997413952,6.961964066063743e-06,0.18905847740998574,1.5929917792247688e-05,353.43865435903535
181445828.0,4.0,0.0008601299699293104,2.608965876921719e-05,0.7032265597382934,0.0007010576349852923,23.854007414323405
182735393.0,0.0,,,,,23.854044697494373
181446521.0,2.0,0.0005629211415870268,1.4786207054649883e-05,0.39737053702174197,0.0002929947295844259,49.426535493802476
277173427.0,3.0,0.001942116482031647,2.1502837084627443e-05,1.705744581537766,1.727098663157287e-05,353.4386968004819
181453967.0,0.0,,,,,49.42650879348275
182300254.0,0.0,,,,,23.854021714083046
425084797.0,1.0,0.0002767700480742099,8.390881525975052e-06,1.4835924689836302,5.154540580811586e-05,324.27188157923865
182293477.0,2.0,0.0023817031356261004,4.598907234131536e-05,0.3926602329638235,0.00044628892622882506,23.85402470991494
231798010.0,0.0,,,,,353.4386607736942
181453919.0,2.0,0.0009128563584094956,3.5332133033327884e-05,0.5428983181926105,0.00043173598833708864,49.426506457725736
276860287.0,3.0,0.0030848425797329808,1.5031646688313689e-05,0.19729931372987705,8.284665952396346e-06,324.2718919001336
179576115.0,1.0,6.658801919253539e-05,4.020672898878757e-06,2.0234875707782995,9.418881251930555e-05,353.4386825041274
276864159.0,1.0,0.00010994644515787442,6.20292474990998e-06,1.225849793355791,9.592167511284949e-05,324.27190339959543
373606593.0,1.0,8.321089235205988e-05,9.369953581733732e-06,1.9334314457396111,0.00017565234447079872,353.4386696958518
181660065.0,0.0,,,,,23.85399381072739
40716825.0,0.0,,,,,324.2717679221669
181051257.0,0.0,,,,,49.42650710220096
287400445.0,1.0,0.00016165522609551888,3.917007380375473e-06,0.33111370344798047,4.11970498025535e-05,324.2718719584436
231743198.0,1.0,5.66289692347854e-05,6.131936104927383e-06,0.7600077335797117,0.00016891012841082194,353.4386394919111
30855727.0,3.0,0.00046648454007940153,4.3380973358325094e-05,3.7236106475213906,0.00014506371336222052,353.43861874665436
30322273.0,0.0,,,,,353.438631679177
181878924.0,0.0,,,,,23.853993068230466
30189775.0,1.0,8.762873542526083e-05,3.239108697851358e-06,1.3015021495076333,5.766014425565609e-05,353.4386241738521
40603917.0,2.0,0.0006349087816513938,7.811387408430924e-06,0.1931962624637124,6.552098322772663e-06,1035.25465514237
