CommonName,ContRatio,Dec,Dec_y,MKType,MatchID,RA,RA_y,SimbadOType,SimbadSpT,SpT,SpecSource,TIC ID,Tmag,dist,lum,pmDec,pmRA,teff,w1mag,w2mag,w3mag,w4mag,alpha,e_alpha,tau,e_tau,gamma,e_gamma,alpha_w,e_alpha_w
V* AZ Cas,,61.4212064364543,61.421222222222205,K5Iab-Ib,444831689,25.5688063361519,25.568791666666698,RedSG*,K5Iab-Ib,RSG,T,444831689,7.0525,0.06219090232312099,4.5500010278018586,-0.262881,-2.1981900000000003,3.655618583541222,3.861,3.67,3.793,3.6519999999999997,0.1495132276762357,0.00973428282228995,0.08173409667289529,0.0044392348835913635,3.0347920341835604,0.14847406849135947,0.010642549137006041,1.6572772054281654e-05
SK -67   57,,-67.1660394335256,,B2III,40603917,77.9669973610032,,Star,B2III,YSG,N,40603917,11.7357,0.176015860894887,4.519,0.179161,1.55205,3.656,9.91,10.055,10.006,9.338,0.022939678526843626,0.0006516639080147077,0.23506676515777394,0.006280653507016429,2.414548995516547,0.04017649191292954,0.0015704094706906551,6.920897345471336e-07
SV* HV   883,,-68.4500179118402,,G0Ia,30526897,75.0315195821143,,deltaCep,F8/G0Ia,YSG,N,30526897,11.1963,0.166508351594673,4.841,-0.0427505,1.78486,3.68,9.254,9.193,7.647,6.7170000000000005,0.24822088995660857,0.022668451083245403,0.5867919378762163,0.05685434061619332,1.3995317462228833,0.02120153266014124,0.0043126878974472,5.120739824802954e-06
HD 269953,,-69.6680146949321,,G0,404850274,85.0506962218809,,YellowSG*,G0_0,YSG,N,404850274,9.2671,0.0494748046107853,5.437,0.691703,1.71767,3.6919999999999997,7.271,6.638,4.063,1.214,0.015857970652449184,0.0007063599002860134,0.42936950823522785,0.024354821166282042,1.5272879293892558,0.02740612214307051,0.0017312175219408267,7.293634541137979e-07
HD 269110,,-69.6033901712571,,K0,40404470,77.29420213149241,,Star,G0I:,YSG,N,40404470,10.038,0.18210142020517397,5.251,0.252252,2.0805700000000003,3.75,8.786,8.681000000000001,8.568999999999999,8.241,0.0076141699455134874,0.00031902230123201716,0.31933153205501597,0.016304931214162346,1.9449548024777752,0.05708932713057961,0.001562731213686136,6.222233972931287e-07
HD 268687,,-69.4312513304874,,F2,29984014,72.73273606034921,,YellowSG*,F6Ia,YSG,N,29984014,10.4649,0.0353944851400487,5.169,-0.114001,1.83265,3.784,9.225,9.15,8.963,9.049,0.06478527622131777,0.0020493179021143283,0.3240396040339976,0.009460693041179405,1.9739971494724204,0.019633706843438542,0.0016554576536784607,6.959160941670101e-07
HD 269840,,-68.9281290230183,,G0,277108449,84.0420066193105,,YellowSG*,F3Ia,YSG,N,277108449,10.132,0.17595646324647699,5.335,0.6823170000000001,1.48695,3.7910000000000004,8.839,8.786,8.577,8.336,0.008735258639903386,0.0002738822700662105,0.1255737839293488,0.00444191873226586,2.302778459559496,0.06400541865190157,0.0020342015139256397,1.0284533875749803e-06
HD 269902,,-69.1059214609078,,A1Ia+,277300045,84.53992899164001,,SG*,A1Ia+,YSG,N,277300045,9.7899,0.0714366590649896,5.352,0.627754,1.7065400000000002,3.793,8.687000000000001,8.609,9.187999999999999,4.947,0.023556145012855752,0.0008634854430020579,0.3144666321766142,0.013044532518473168,1.7385874191377324,0.026115115653779,0.0017521619146908926,7.700919338644157e-07
HD 269331,,-69.5604903171083,,G0,179206253,79.5076375671546,,Candidate_YSG*,A5Ia0,YSG,N,179206253,10.1142,0.0942985406016343,5.307,0.290754,1.7721799999999999,3.81,8.863999999999999,8.821,8.915,7.669,0.022991281752543,0.0010788685233488182,0.5151113318538519,0.02748170349506601,1.7338795351084044,0.03353708267965174,0.0017646202905434775,7.666637332414498e-07
RMC 137,,-69.0855215146918,,B1.5IaNstr,404768745,84.6540086178315,,BlueSG*,B1Ia,YSG,N,404768745,11.8776,0.18246463160303,4.543,0.9079079999999999,1.88635,3.847,,,,,0.07616679356777262,0.0025648735813240202,0.3628587045358007,0.011517654105638707,1.8974614990848744,0.019108008307357652,0.001954300863508949,8.657131570236911e-07
CPD-69   430,,-69.2717683125759,,B8I,277172433,84.23672142396849,,Star,B8I,YSG,N,277172433,11.9219,0.0753118887112606,4.581,0.61987,1.77836,3.8569999999999998,11.248,11.247,13.112,9.352,0.09055855364560123,0.008649338244130524,0.6561135111263923,0.06285007497375739,1.7361919585119263,0.04628631305249689,0.002677957340435496,2.1501901039599386e-06
W61 27-27,,-69.0250303452999,,B1.5I,277025859,84.0158030604584,,Star,B1.5I,YSG,N,277025859,10.7696,0.128877572987156,4.493,0.5560069999999999,1.52645,3.861,11.43,11.380999999999998,12.157,9.42,0.16440711601087174,0.007252748595344616,0.6406135504236193,0.025345571083283773,1.6876695497416714,0.01292519054388967,0.0016378601992417547,7.37734734963614e-07
HD 269392,,-69.8857014024621,,B6Iab,179376451,79.96588265345109,,Star,B3I,YSG,N,179376451,11.9609,0.168302579827365,4.605,0.257405,1.9789299999999999,3.865,11.149000000000001,11.155,9.557,8.101,0.15152266780818488,0.0077654878342763,0.863519748089889,0.04151839950895635,1.5792930160125698,0.013123132555574568,0.0016625138351321063,7.457987609841489e-07
HD 269128,,-68.77328288319589,,B,40518041,77.5949562251389,,BlueSG*,B2.5Ieq,YSG,N,40518041,9.1888,0.0599439616907116,5.1339999999999995,0.284369,1.8618400000000002,3.872,9.692,9.474,8.551,5.563,0.9321736410787598,0.03029662729615192,0.31268932528746696,0.010616311251607167,1.2944166513903432,0.004821661137674333,0.00799216443880486,4.678102363887412e-06
HD 269700,,-68.5441268290413,,BN?2Ia+,425081475,82.9678411635959,,BlueSG*,B1.5Iaeq,YSG,N,425081475,8.8079,0.0863138763817438,5.069,0.401278,1.60155,3.8819999999999997,10.187000000000001,10.12,10.993,9.327,1.1941545773217548,0.098106546129397,2.5692293162872906,0.19646952002908977,1.2829898456085171,0.006430819742476063,0.0030081843613987205,1.5658401151114334e-06
HD 270151,,-70.04170277113279,,B2Ia,389749856,87.26183616334059,,BlueSG*,B2Ia,YSG,N,389749856,10.5609,0.084739720051676,4.635,0.8474860000000001,1.75551,3.897,11.413,11.392999999999999,9.802999999999999,5.752999999999999,0.3335431238092465,0.01901526632378705,1.1173771087701112,0.05905942400941224,1.4447443841055898,0.008979052644475799,0.001970669462178131,9.711891476556514e-07
CPD-69   491,,-69.280890038232,,B3I,404852071,85.2033549358579,,Star,B3I,YSG,N,404852071,10.298,0.0997326155405139,4.665,0.532691,1.80118,3.9139999999999997,11.418,11.423,12.594000000000001,9.339,0.18243675495188824,0.008234834265497076,0.7302000333736299,0.030429819769396623,1.5783745112945096,0.010846940038894647,0.001704162136316451,7.419989463925922e-07
HD 270754,,-67.1147553293165,,B,294872353,71.76854551952691,,BlueSG*,B1.5Ia,YSG,N,294872353,11.1905,0.135152973854167,4.927,0.829608,0.753869,3.915,10.828,10.749,9.435,6.0729999999999995,0.4769938856351424,0.02615011485149854,1.0295262995418601,0.05237379876241731,1.3809461584642853,0.0067479237913041674,0.002073658058162698,9.842946123429585e-07
